Name,Account Name,Account Industry,Net Revenue Per Quarter,Days Since Last Deal,New Customer,Successful Deals Closed,Will this customer continue to do business with us?
wkHBQjYw,University of Arizona,Media,14883,399,False,61,0
jsNpHyel,Grand Hotels & Resorts Ltd,Government,5556,391,False,14,1
kpJXmUeH,Pyramid Construction Inc.,Education,98396,466,False,11,1
pnzNKzmN,"United Oil & Gas, Singapore",Chemicals,81223,145,False,33,1
ibEMiRhR,"United Oil & Gas, Singapore",Banking,61174,739,False,58,1
hVRMVjqM,University of Arizona,Banking,7780,341,False,76,1
rlmTBjzm,Pyramid Construction Inc.,Media,94910,443,False,48,1
nrpAdDBc,Edge Communications,Technology,30043,-1,True,14,1
UnfojJdy,Burlington Textiles Corp of America,Chemicals,20800,590,False,2,1
yfkNCidG,"United Oil & Gas, UK",Healthcare,3399,184,False,34,1
yMSyRlMX,GenePoint,Government,39294,350,False,34,1
KiVcMArU,Burlington Textiles Corp of America,Healthcare,94489,797,False,86,0
ncmAxUBx,sForce,Technology,8178,418,False,7,0
eefoeQvl,"United Oil & Gas, Singapore",Banking,89458,94,False,82,1
GjXzuRDc,Burlington Textiles Corp of America,Healthcare,92701,799,False,55,1
tFugSEOI,Dickenson plc,Engineering,36495,701,False,99,1
DjzxwQpe,Grand Hotels & Resorts Ltd,Retail,58043,784,False,100,1
HDGqgezH,Grand Hotels & Resorts Ltd,Education,7598,676,False,81,0
YUxDwloS,"United Oil & Gas, UK",Apparel,49930,459,False,10,1
vkzSZygY,United Oil & Gas Corp.,Media,37942,60,False,5,1
UPtSwzIF,University of Arizona,Banking,32591,155,False,52,0
wnplvcVq,Dickenson plc,Education,72974,-1,True,68,1
DpKhOCWS,University of Arizona,Engineering,45593,108,False,65,1
xTmbHpaV,Dickenson plc,Finance,81453,612,False,85,1
WqtMjdXi,"United Oil & Gas, Singapore",Banking,6745,107,False,65,1
qinoQlKT,Dickenson plc,Engineering,47417,14,False,8,0
XepoejTy,sForce,Retail,37489,475,False,32,1
XhxAYNUR,sForce,Retail,35585,-1,True,93,1
VIDGatuH,Burlington Textiles Corp of America,Technology,72873,302,False,72,1
QQSYmjyO,"United Oil & Gas, UK",Education,52779,478,False,27,1
tHjabwOJ,Express Logistics and Transport,Healthcare,70246,767,False,43,0
